,parquetFile,fileName,coinTag,pairedCurr,coefVariation,meanC,stdDevC,meanVol
259,trxusd.gzip,trxusd.csv,trx,usd,0.5202245650478126,0.0322113644118721,0.01675714304076275,42465.87554612067
260,tsdusd.gzip,tsdusd.csv,tsd,usd,0.016638427895539945,1.0092944540337712,0.016793072998809257,1317.1125403788046
262,udcusd.gzip,udcusd.csv,udc,usd,60.63607867554801,2.8876529682666976,175.09595257149923,5147.082429785325
265,uniusd.gzip,uniusd.csv,uni,usd,0.18149879412417497,3.4670215044035375,0.629260222251825,259.01192447153824
267,uopusd.gzip,uopusd.csv,uop,usd,0.10485667012092571,0.3065217012272535,0.032140844910491066,1268.109445506242
270,uosusd.gzip,uosusd.csv,uos,usd,0.6621806664692814,0.07250449570188258,0.04801107528589176,2109.32442374969
271,uskusd.gzip,uskusd.csv,usk,usd,0.1541528041114257,0.9763721666666666,0.15051050734801494,8.898183938583335
273,ustusd.gzip,ustusd.csv,ust,usd,0.009645089323135708,1.0048276721691016,0.00969165265242951,13521.558662356267
274,utkusd.gzip,utkusd.csv,utk,usd,0.6115254903064412,0.06828661197548326,0.0417590038696731,2920.385028634551
275,utnusd.gzip,utnusd.csv,utn,usd,0.42466361481661713,0.003468578282088824,0.001472978991546252,36297.08068240482
276,veeusd.gzip,veeusd.csv,vee,usd,1.1627692094500102,0.005609280240545984,0.006522298350883216,43175.58814059228
278,vetusd.gzip,vetusd.csv,vet,usd,0.6020966843449331,0.007609953156565656,0.004581927563588439,20056.85887977641
279,vldusd.gzip,vldusd.csv,vld,usd,0.44628677668800004,0.003750075665576833,0.0016736091811263912,32856.465598373194
281,vsyusd.gzip,vsyusd.csv,vsy,usd,1.0280436947157505,0.05320993746146169,0.0547021407034751,484.3408337774766
282,waxusd.gzip,waxusd.csv,wax,usd,0.7414736281708934,0.15523469943878612,0.11510243581089488,2702.980631197318
284,wbtusd.gzip,wbtusd.csv,wbt,usd,0.42400613284153527,12892.024934383202,5466.297636924469,0.012713597217847768
285,wprusd.gzip,wprusd.csv,wpr,usd,1.338060897864665,0.018905437570621464,0.025296626770270128,8822.46019062755
286,wtcusd.gzip,wtcusd.csv,wtc,usd,0.45455884575275435,2.072370591133005,0.942014383877372,299.4907206848799
290,xautusd.gzip,xautusd.csv,xaut,usd,,,,
293,xchusd.gzip,xchusd.csv,xch,usd,0.20778977581981856,1.041689229793978,0.21645237153281013,510.4951223988877
294,xdcusd.gzip,xdcusd.csv,xdc,usd,0.21370705009512403,0.006286034248729736,0.001343369836092951,70462.55450185094
298,xlmusd.gzip,xlmusd.csv,xlm,usd,0.5672477972586867,0.14482491226973845,0.08215161247319168,9526.834065426974
300,xmrusd.gzip,xmrusd.csv,xmr,usd,0.7027551493602844,133.87488789018022,94.08126683485493,37.66820148583235
302,xrausd.gzip,xrausd.csv,xra,usd,0.7616194997246538,0.023132306814868806,0.01761801594381758,18910.542101067214
304,xrpusd.gzip,xrpusd.csv,xrp,usd,0.7863061152517563,0.409386770346827,0.32190332102687647,33354.14777623866
307,xtzusd.gzip,xtzusd.csv,xtz,usd,0.3429416999146596,2.281787977118215,0.782520247717753,1061.4875082648311
308,xvgusd.gzip,xvgusd.csv,xvg,usd,1.0113775001583185,0.024209269380977606,0.024484710347192455,30106.779344453924
309,yfiusd.gzip,yfiusd.csv,yfi,usd,0.2822884093472586,20703.83585576622,5844.452891110985,0.06610348101192122
311,yggusd.gzip,yggusd.csv,ygg,usd,0.5055500429890164,0.0007813635634984164,0.00039501838311667545,51010.31694369151
312,yywusd.gzip,yywusd.csv,yyw,usd,0.6699216997252729,0.20959721295186812,0.14041372115839548,11745.454347566012
313,zbtusd.gzip,zbtusd.csv,zbt,usd,0.14266528943436782,0.292790989513681,0.04177111126274425,91.29253548412713
314,zcnusd.gzip,zcnusd.csv,zcn,usd,0.6717182729277803,0.2051049890530925,0.13777276901561458,1693.8128614178434
316,zecusd.gzip,zecusd.csv,zec,usd,0.8558057556782366,188.93741390872168,161.69372628604532,24.965548817296604
317,zilusd.gzip,zilusd.csv,zil,usd,0.6792830705960918,0.028332336554872,0.01924567657215535,13141.220877409993
320,zrxusd.gzip,zrxusd.csv,zrx,usd,0.6753325993032199,0.5330683609317353,0.35999844179433577,2787.991100619443
